,ATR_MULTIPLIER,SL_ATR,TP_ATR,BREAK_MARGIN,FinalReturn,Sharpe,MaxDrawdown,Trades,WinRate,ProfitFactor,Expectancy
8,1.2,1.5,2.5,0.0006,0.2105474392564386,0.4555112155762283,0.23783413585058732,102,0.43137254901960786,1.1572169256256186,20.64190580945472
9,1.2,1.5,2.5,0.001,0.16922636889891574,0.40809846588631293,0.22597903323786006,86,0.43023255813953487,1.151356526669449,19.677484755687825
16,1.5,1.5,2.5,0.0006,0.06016290452362605,0.32963969875080734,0.07988791569128151,15,0.4666666666666667,1.3548136891986882,40.108603015750575
13,1.2,2.0,2.5,0.001,0.0979307554144917,0.29873257615739657,0.19861836732305294,84,0.4880952380952381,1.0983900921809395,11.658423263629976
10,1.2,1.5,3.0,0.0006,0.10325789910234251,0.25925060589497506,0.2755719730560965,100,0.37,1.074223728011763,10.325789910234215
11,1.2,1.5,3.0,0.001,0.08135850850223991,0.22892857218203502,0.2279373296342857,84,0.36904761904761907,1.07064251881827,9.68553672645716
15,1.2,2.0,3.0,0.001,0.03517670530803807,0.14279677108825306,0.24037087972350302,82,0.4268292682926829,1.0334909785025057,4.289842110736372
12,1.2,2.0,2.5,0.0006,0.026733399650865852,0.12335030937197974,0.24744818791109002,98,0.46938775510204084,1.0231703209846712,2.7278979235577525
18,1.5,1.5,3.0,0.0006,0.004669764428880896,0.05179438135690573,0.09908034804119803,14,0.35714285714285715,1.0248481224456392,3.335546020629051
20,1.5,2.0,2.5,0.0006,0.004249381188478507,0.04951340251273459,0.0792324401568042,15,0.4666666666666667,1.0258961839268481,2.832920792319146
17,1.5,1.5,2.5,0.001,-0.006098992167407058,-0.010308358966649658,0.11762309857044118,13,0.38461538461538464,0.962246897546264,-4.691532436466787
14,1.2,2.0,3.0,0.0006,-0.036816125476353934,-0.02026295041993656,0.2865593878193088,95,0.4105263157894737,0.9695390264597122,-3.8753816290898135
19,1.5,1.5,3.0,0.001,-0.012885662979283175,-0.0454508822618558,0.11762309857044151,12,0.3333333333333333,0.9210577242493128,-10.738052482735915
22,1.5,2.0,3.0,0.0006,-0.040265383107377595,-0.22214552046598554,0.0982223600315989,14,0.35714285714285715,0.778929036940923,-28.76098793384116
7,1.0,2.0,3.0,0.001,-0.19542700203968133,-0.24595793033243799,0.41803082265790714,199,0.3969849246231156,0.923800259572428,-9.82045236380315
21,1.5,2.0,2.5,0.001,-0.0435538969341811,-0.2791005729015046,0.11678963642717644,13,0.38461538461538464,0.7250817639638824,-33.50299764167756
23,1.5,2.0,3.0,0.001,-0.048390304860341904,-0.3011563494191667,0.11678963642717644,12,0.3333333333333333,0.6969279884243369,-40.32525405028483
3,1.0,1.5,3.0,0.001,-0.3397358599108843,-0.4474344775351783,0.5196926237706574,206,0.32038834951456313,0.8686409014201423,-16.492032034509073
5,1.0,2.0,2.5,0.001,-0.29719556775437683,-0.5161680399547736,0.4238915848621412,200,0.425,0.8625551049868043,-14.859778387718816
6,1.0,2.0,3.0,0.0006,-0.38824713994833726,-0.5649051703700504,0.5179273733451076,262,0.3816793893129771,0.8590340090655658,-14.818593127799147
1,1.0,1.5,2.5,0.001,-0.43052243531851186,-0.7254089100677162,0.5527399663089948,208,0.34615384615384615,0.8058029371788643,-20.69819400569764
4,1.0,2.0,2.5,0.0006,-0.4423743976772536,-0.7615996377622724,0.518182011395935,269,0.4163568773234201,0.8175362519748011,-16.445144895065233
2,1.0,1.5,3.0,0.0006,-0.553345329162588,-0.8191412480854282,0.643966254509404,275,0.3054545454545455,0.7848853583855255,-20.121648333185043
0,1.0,1.5,2.5,0.0006,-0.5666784150336348,-0.9411007241922734,0.6222338648835792,281,0.3416370106761566,0.7581913936210781,-20.166491638207685
