

2024-10-01 00:00,EURCHF,[Hist] Infl 107.3>2.0 & Rate 0.89<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2024-11-01 00:00,EURCHF,[Hist] Infl 107.2>2.0 & Rate 0.81<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2024-12-01 00:00,EURCHF,[Hist] Infl 107.1>2.0 & Rate 0.60<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2025-01-01 00:00,EURCHF,[Hist] Infl 107.1>2.0 & Rate 0.41<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2025-02-01 00:00,EURCHF,[Hist] Infl 107.7>2.0 & Rate 0.37<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2025-03-01 00:00,EURCHF,[Hist] Infl 107.7>2.0 & Rate 0.31<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2025-04-01 00:00,EURCHF,[Hist] Infl 107.7>2.0 & Rate 0.16<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,,n/a (historical),,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.33>2.0 & Rate 0.89<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2024-10-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.19>2.0 & Rate 0.81<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2024-11-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.13>2.0 & Rate 0.60<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2024-12-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.07>2.0 & Rate 0.41<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2025-01-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.67>2.0 & Rate 0.37<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2025-02-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.72>2.0 & Rate 0.31<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2025-03-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:40,EURCHF,[Hist] Infl 107.73>2.0 & Rate 0.16<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2025-04-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:43,EURCHF,[Hist] Infl 107.33>2.0 & Rate 0.89<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2024-10-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:43,EURCHF,[Hist] Infl 107.19>2.0 & Rate 0.81<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2024-11-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:43,EURCHF,[Hist] Infl 107.13>2.0 & Rate 0.60<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2024-12-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:43,EURCHF,[Hist] Infl 107.07>2.0 & Rate 0.41<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2025-01-01,n/a (historical),,,Back‑test trigger
2025-07-11 19:43,EURCHF,[Hist] Infl 107.67>2.0 & Rate 0.37<1.0,SNB reluctant to tighten despite imported inflation,Swiss National Bank,Short CHF (Conditional),n/a,2025-02-01,n/a (historical),,,Back‑test trigger
